Gene_acc,Gene_id,iBAQ SPORO_1,iBAQ SPORO_2,iBAQ SPORO_3,iBAQ WALL_1,iBAQ WALL_2,iBAQ WALL_3,Desc
197,cgd1_1060,509040.0,15115000.0,81057.0,108020.0,52859.0,526270.0,Uncharacterized protein with Armadillo-type fold
198,cgd1_1080,2629300.0,33530000.0,1872100.0,1636300.0,0.0,3833200.0,Alpha beta hydrolase
1491,cgd1_110,0.0,2466100.0,0.0,0.0,0.0,634440.0,Signal peptide region containing protein
1283,cgd1_1110,223840.0,5111700.0,0.0,1276900.0,0.0,4878100.0,Phosphatidyl serine synthase
1282,cgd1_1140,521440.0,24313000.0,2029700.0,3396200.0,733360.0,6510300.0,Acyl-CoA-binding protein ACBP with Ankyrin repeat
294,cgd1_1160,0.0,41817000.0,492950.0,613430.0,73631000.0,1362200.0,Signal peptide region containing protein
150,cgd1_1170,0.0,23044000.0,1346900.0,0.0,0.0,1109000.0,Ubiquitin carboxyl-terminal hydrolase
1490,cgd1_120,0.0,18953000.0,0.0,0.0,0.0,1005300.0,Signal peptide region containing protein
382,cgd1_1210,0.0,6694400.0,0.0,0.0,0.0,0.0,Uncharacterized protein
696,cgd1_1230,332180.0,10267000.0,76370.0,0.0,0.0,1192200.0,Signal peptide region containing protein
104,cgd1_1240,533240.0,26144000.0,260970.0,222740.0,41684.0,1047800.0,Sec14 domain containing protein
654,cgd1_1250,546370.0,13086000.0,77194.0,18991.0,0.0,2222200.0,Uncharacterized Secreted Protein (CpLSP gene family)
369,cgd1_1270,0.0,1608200.0,0.0,0.0,0.0,0.0,PPPDE peptidase/PUB domain containing protein
929,cgd1_1280,5114600.0,168990000.0,14667000.0,10420000.0,3687900.0,98069000.0,K-homology type RNA binding proteins
1373,cgd1_1290,906030.0,77805000.0,3265400.0,7326200.0,3310900.0,9481600.0,Apicomplexa specific secreted protein Pf (23508265)
1104,cgd1_130,0.0,52597000.0,195240.0,357450.0,0.0,3787000.0,Signal peptide region containing protein
1353,cgd1_1310,0.0,7330800.0,678600.0,563650.0,0.0,5389900.0,Cleavage stimulation factor with RNA recognition motif domain
1489,cgd1_1340,0.0,2622600.0,0.0,0.0,0.0,287440.0,VDP/USO1/YBL047C family vesicular transport factor
1577,cgd1_1380,65337.0,19779000.0,698740.0,687810.0,0.0,3350500.0,Palmitoyltransferase
1651,cgd1_140,71389.0,51965000.0,91399.0,209200.0,42461.0,8182400.0,Uncharacterized Secreted Protein (CpLSP gene family)
86,cgd1_1433,126160.0,4224300.0,263940.0,62183.0,0.0,185680.0,Uncharacterized protein
394,cgd1_1450,0.0,14074000.0,0.0,0.0,0.0,0.0,Signal peptide region containing protein
345,cgd1_1470,0.0,279260.0,0.0,0.0,0.0,0.0,Uncharacterized protein
1627,cgd1_1500,0.0,4445500.0,559970.0,261680.0,0.0,2442800.0,Uncharacterized protein
277,cgd1_1510,106480000.0,1057900000.0,284230000.0,1532500000.0,231710000.0,1726400000.0,Signal peptide region containing protein
691,cgd1_1530,10574000.0,124620000.0,3855200.0,5740800.0,7716300.0,20991000.0,Rpn5 like 26S proteasomal regulatory subunit 12 with PCI domain
166,cgd1_1540,0.0,16239000.0,231140.0,0.0,0.0,0.0,Dynein intermediate chain
99,cgd1_1550,920870.0,31753000.0,1630200.0,555880.0,118720.0,2967400.0,Uncharacterized protein
1488,cgd1_1570,0.0,3100300.0,0.0,0.0,0.0,269790.0,Transcription factor E2F
1213,cgd1_1600,594120.0,6515600.0,1152300.0,2755500.0,893060.0,0.0,HIT-like domain containing protein
69,cgd1_1620,36158.0,3759500.0,114070.0,0.0,0.0,0.0,RPB7 like OB fold RNA polymerase subunit
1487,cgd1_1640,0.0,139540.0,0.0,0.0,0.0,16756.0,PHD-finger/AT hook containing chromatin protein
1072,cgd1_1660,117770000.0,934070000.0,73055000.0,436910000.0,264090000.0,160580000.0,60S ribosomal protein L36
90,cgd1_1710,36418.0,7520200.0,333440.0,0.0,195090.0,185100.0,Phosphoglycerate mutase
951,cgd1_1720,38516.0,3680600.0,0.0,0.0,0.0,35680.0,SpoU type tRNA/rRNA methyltransferase
406,cgd1_1810,0.0,827470.0,0.0,0.0,0.0,0.0,Uncharacterized protein
995,cgd1_1830,0.0,11483000.0,2195300.0,2878100.0,0.0,0.0,TB2/DP1/HVA22 family integral membrane protein
673,cgd1_1860,36807.0,2396900.0,72738.0,0.0,0.0,1033000.0,translation initiation factor eIF-2B alpha subunit
862,cgd1_1870,71614.0,36124000.0,1269800.0,1265400.0,2510500.0,3829500.0,Uncharacterized protein
930,cgd1_1890,2283000.0,128040000.0,6642600.0,17441000.0,9351800.0,24115000.0,Longin domain-containing Synaptobrevin
1391,cgd1_1900,34129.0,32398000.0,2069300.0,2284200.0,0.0,155820.0,Fur1p like uracil phosphoribosyltransferase
443,cgd1_1950,106550.0,4089500.0,188510.0,0.0,0.0,1354900.0,Uncharacterized protein with RING-type Zinc finger and CDC48 domain 2
790,cgd1_1970,10470000.0,187210000.0,22839000.0,58705000.0,34043000.0,66250000.0,Golgi apparatus membrane protein TVP15
957,cgd1_1990,65683.0,1213700.0,0.0,0.0,0.0,144320.0,tRNA(His) guanylyltransferase
1583,cgd1_2020,569040.0,7850900.0,1094800.0,1542700.0,9344400.0,0.0,Uncharacterized protein
1243,cgd1_2040,21623000.0,650120000.0,38539000.0,35843000.0,126800000.0,84776000.0,Pyruvate kinase
225,cgd1_2050,377550.0,4681500.0,79758.0,0.0,0.0,320370.0,Uncharacterized protein with WD40 repeat
860,cgd1_2060,7291000.0,125900000.0,6101600.0,16653000.0,16518000.0,6748500.0,Rab1 GTPase
380,cgd1_2070,0.0,967750.0,0.0,0.0,0.0,0.0,Uncharacterized protein
295,cgd1_2130,7234200.0,158090000.0,4978900.0,4659400.0,7153800.0,10030000.0,Glutamine-tRNA synthetase
1486,cgd1_2180,0.0,268090.0,0.0,0.0,0.0,446350.0,CDC48 like AAA ATPase
700,cgd1_2220,217870.0,13207000.0,141640.0,2069200.0,0.0,0.0,Uncharacterized protein
527,cgd1_2270,59219000.0,754240000.0,67006000.0,438440000.0,279200000.0,225020000.0,40S ribosomal protein S26
1231,cgd1_230,1163800.0,67021000.0,1635500.0,787780.0,6469900.0,33178000.0,"Glycosyl transferase, family 1"
735,cgd1_2400,0.0,81390000.0,4078400.0,3029700.0,2931400.0,33433000.0,Uncharacterized secreted protein
1485,cgd1_2420,0.0,5058800.0,0.0,0.0,0.0,1143600.0,YrdC-like/ Putative GTP-binding controlling metal-binding domain containing protein
1311,cgd1_2450,578970.0,5389000.0,203130.0,347530.0,0.0,6410800.0,ELP3-like acetyltransferase
947,cgd1_2460,0.0,7502000.0,77728.0,270660.0,0.0,0.0,Uncharacterized protein
242,cgd1_2470,598980.0,12540000.0,578730.0,772270.0,0.0,1033400.0,Serine/threonine-protein phosphatase 2A activator
107,cgd1_2480,216480.0,4918900.0,118820.0,0.0,0.0,223060.0,Actin family
792,cgd1_2490,2210100.0,58202000.0,7412300.0,4509300.0,8879100.0,5998100.0,Proteasome subunit beta type
1297,cgd1_2500,1286800.0,32506000.0,843250.0,1285400.0,3271000.0,6437200.0,Signal recognition particle SPR68
411,cgd1_2530,0.0,10925000.0,0.0,0.0,0.0,0.0,TRAFAC type P-loop Gtpase with Kinesin motor domain
309,cgd1_2560,245830.0,9775000.0,694160.0,4825800.0,624440.0,10864000.0,Tom40p like translocase
1484,cgd1_2600,0.0,716040.0,0.0,0.0,0.0,366990.0,Transcription factor TAF5p/TBP associated protein
898,cgd1_260,15371.0,2146500.0,269140.0,714510.0,670570.0,0.0,Signal peptide region containing protein
1483,cgd1_2680,0.0,2501200.0,0.0,0.0,0.0,284840.0,Methyltransferase domain containing protein
1026,cgd1_2700,15002.0,3061200.0,0.0,0.0,0.0,1037900.0,Methionine aminopeptidase
1592,cgd1_2710,89217.0,9475500.0,655260.0,794520.0,0.0,5162600.0,RNA polymerase II B3 subunit
827,cgd1_2730,0.0,7152400.0,445800.0,0.0,0.0,4411500.0,RNA recognition motif domain containing protein
1080,cgd1_2760,1733100.0,121250000.0,7840800.0,2744100.0,11913000.0,24986000.0,Ribosome-binding ATPase YchF/Obg-like ATPase 1
1005,cgd1_2770,178060.0,1887400.0,0.0,0.0,0.0,452720.0,DNA-directed RNA polymerase subunit beta
